Term,Definition
Resolution (rasters),The distance covered by each map pixel of a raster (can be expressed in one or two dimensions).
Resolution (shapefiles),The smallest distance between adjacent nodes.
Scales,Maps from data to aesthetic space.
Semivariance,"The proportion of total variance explained at a given distance between sample locations. In other words, this represents the degree of dissimilarity in the measured variable between points."
Semivariogram,A type of plot used to assess the scale at which a variable is spatially independent.
Session,The time spent and operations conducted since opening R.
Shapefile,"A spatial object comprised of points or vertices, typically mapped to the surface of the earth via a coordinate reference system."
Sill,The value of semivariance when samples are spatially independent.
Simple features object (sf),"A data frame that contains the geometry, attributes, and coordinate reference system (CRS) information."
Simple Features Geometry (sfg),The geometry of an individual simple feature.
Simple Features Geometry List Column Object (sfc),A list column with the geometry of all simple features in a dataset.
Source table,"In a join, this is the table that is referenced by the target table (in a mutating join, the source table provides the new variables for the target table) -- this is typically the table with the primary key."
Spatial aggregation,Combine features in a shapefile.
Spatial autocorrelation,Systematic spatial variation in a variable.
Spatial buffer,"An area within a specified distance from a feature (i.e., points, lines, or polygons)."
Spatial Interpolation,The estimation of values based on adjacent values.
Spatial join,A join conducted between two shapefile objects based on overlapping or non-overlapping geometries.
SpatVector,A shapefile in the *terra* package.
Structure,The dimensionality and homogeneity of a data object (may also be used to describe the class of objects).
Subset (verb),"The process of reducing the number of items in a list (including columns in a data frame!), rows in a data frame, or values in an atomic vector."
Summarize,"The process of calculating a summary statistic, or multiple summary statistics of a data frame and returning the resultant data as a tibble data frame."
Superseded (function),A function for which a new function or argument has been added to a package (these functions should typically be avoided).
Tab,"Each pane has a tab on the top of it. For example, I will often refer to the Environment or History tabs of the workspace pane."
Target table,"In a join, the target table is the table that you wish to join data to (usually the table with the foreign key)."
Theme,Styling of non-data elements in a plot.
Tibble,A type of data frame with great benefits!
Tidy data (noun),"A data format developed by Hadley Wickham (based on Codd's rules) in which every row represents an observation, every column represents a variable, and every level of observation represents a table."
Type,How an object is stored in your computer.
Universal Transverse Mercator (UTM),"A common class of projected coordinate reference systems used primarily for relative small areas (e.g., for a given city)."
Variable,A column in a data frame.
Version history,Changes to a package since its inception.
Vertex (vertices),A point where two or more lines (also called edges) meet.
